steering,throttle,brake,speed
-0.2,0.0,0.0,6.533849
0.2,0.0,0.0,9.653321
0.2,0.206097,0.0,11.1012
0.6808067,0.0,0.0,9.886525
-0.2,0.0813868,0.0,7.307267
-0.2,0.0,0.0,9.912498
0.197343,0.0,0.0,10.28015
0.0,0.0,0.0,2.01027
-0.2,0.0144335,0.0,16.06411
-0.7140761,0.0,0.0,9.408545
0.42130120000000004,0.0,0.0,11.38696
-0.0,0.351123,0.0,8.974011
-0.2,0.0,0.0,9.935128
-0.3102597,0.0,0.0,10.70947
-0.2,0.1672225,0.0,7.649415
-0.23297469999999998,0.0,0.0,7.810975
-0.12739689,0.0,0.0,8.07377
0.2,0.0,0.0,7.25425
-0.2,0.0,0.0,7.48297
0.2,0.0,0.0,10.19339
-0.2,0.4025699,0.0,8.542807
-0.0,0.07899034,0.0,11.27704
0.6391878,0.0,0.0,14.78726
-1.0227645,0.0,0.0,9.04064
0.2,0.0,0.0,14.40801
0.2,0.0,0.0,7.611709
-0.2,0.0,0.0,7.891819
0.2,0.0,0.0,15.53636
-0.2,1.0,0.0,25.21582
0.2,0.06309593,0.0,11.05109
-0.2,0.0,0.0,16.33589
-0.129168,0.0,0.0,8.384328
-0.2,0.0,0.0,8.907489
0.9624600000000001,0.0,0.0,7.36178
0.5927093999999999,0.0,0.0,5.452998
-0.2,0.0,0.0,11.46292
0.2,0.0,0.0,10.81906
0.2,0.8176228,0.0,7.654013
-0.0,0.2002258,0.0,11.26964
0.2,0.0,0.0,7.929506e-05
-0.4021021,0.0,0.0,12.52928
0.2,0.1417111,0.0,6.514639
-0.2,0.1790071,0.0,9.364882
-0.2,0.0,0.0,9.945887
-0.2,0.0,0.0,8.310771
0.2,0.0,0.0,7.703483
0.2,0.0,0.0,18.1687
-0.2,0.3938549,0.0,10.74398
0.0,0.0,0.0,12.2127
0.227479,0.0,0.0,10.50082
0.2,1.0,0.0,19.5661
0.4349999,0.0,0.0,17.54632
0.2,1.0,0.0,26.56694
-0.2,1.0,0.0,27.87935
-0.028064000000000006,0.0,0.0,12.11022
0.340625,0.0,0.0,9.646307
0.2547668,0.0,0.0,10.92411
-0.32627910000000004,0.0,0.0,9.665839
0.0,0.0,0.0,8.522792
-0.198278379,0.0,0.0,9.620594
-0.2,0.0,0.0,9.154183
0.0,0.0,0.0,7.939982
0.2,0.0,0.0,11.25025
0.05522940000000001,0.0,0.0,10.04087
-0.2,0.0,1.0,3.727046
-0.1063809,0.0,0.0,11.37335
0.2,0.0,0.0,10.6038
-0.2,0.0,0.0,7.316559
-0.261826,0.0,0.0,7.910571
0.2,0.8609682,0.0,16.70356
0.2,0.05441093,0.0,10.45869
-0.2,0.0351094,0.0,5.667478
-0.2,0.0,0.0,10.98616
0.2,0.0,0.0,9.987431
0.2,0.0,0.0,17.9401
0.2,0.0,0.0,16.30229
